date,capital,position_value,total_equity,close,peak,dd,month
2024-04-25,10000.0,0.0,10000.0,64282.01,10000.0,0.0,2024-04
2024-04-25,10999.0,1000.8708501803225,11999.870850180323,64337.99,11999.870850180323,0.0,2024-04
2024-04-25,10999.0,999.0876140929631,11998.087614092963,64223.36,11999.870850180323,-0.014860460663483835,2024-04
2024-04-25,10999.0,1000.0931831471977,11999.093183147197,64288.0,11999.870850180323,-0.006480628357047879,2024-04
2024-04-25,10999.0,995.8927855553986,11994.8927855554,64017.99,11999.870850180323,-0.04148431834871716,2024-04
2024-04-25,10999.0,994.8161235157394,11993.816123515739,63948.78,11999.870850180323,-0.05045659857658773,2024-04
2024-04-25,10999.0,995.0843167474071,11994.084316747407,63966.02,11999.870850180323,-0.04822163092554703,2024-04
2024-04-25,10999.0,987.2437093986326,11986.243709398632,63462.01,11999.870850180323,-0.11356072870972957,2024-04
2024-04-25,10999.0,993.4541561472643,11992.454156147265,63861.23,11999.870850180323,-0.061806448799791996,2024-04
2024-04-25,10999.0,986.7429472102692,11985.742947210269,63429.82,11999.870850180323,-0.1177337918586198,2024-04
2024-04-25,10999.0,986.7297242261093,11985.729724226108,63428.97,11999.870850180323,-0.11784398457923535,2024-04
2024-04-25,10999.0,986.0450847756626,11985.045084775662,63384.96,11999.870850180323,-0.12354937473713129,2024-04
2024-04-25,10999.0,997.7276690632418,11996.727669063243,64135.94,11999.870850180323,-0.02619345788236794,2024-04
2024-04-25,10999.0,1002.5425465071797,12001.54254650718,64445.45,12001.54254650718,0.0,2024-04
2024-04-25,10999.0,1006.5646671595987,12005.564667159599,64704.0,12005.564667159599,0.0,2024-04
2024-04-25,10999.0,1006.690674420417,12005.690674420417,64712.1,12005.690674420417,0.0,2024-04
2024-04-25,10999.0,1007.2353058032877,12006.235305803288,64747.11,12006.235305803288,0.0,2024-04
2024-04-25,10999.0,1007.9692592064249,12006.969259206426,64794.29,12006.969259206426,0.0,2024-04
2024-04-25,10999.0,1006.6581614358356,12005.658161435837,64710.01,12006.969259206426,-0.010919473035078293,2024-04
2024-04-25,10999.0,1004.9933099478376,12003.993309947837,64602.99,12006.969259206426,-0.024785182624726024,2024-04
2024-04-25,10999.0,1003.3653272509679,12002.365327250967,64498.34,12006.969259206426,-0.03834383062093956,2024-04
2024-04-26,10999.0,1000.3892224278611,11999.38922242786,64307.03,12006.969259206426,-0.06313030886418736,2024-04
2024-04-26,10999.0,1001.8817084282211,12000.881708428222,64402.97,12006.969259206426,-0.050700144614230655,2024-04
2024-04-26,10999.0,1003.389750880534,12002.389750880535,64499.91,12006.969259206426,-0.03814041851052035,2024-04
2024-04-26,10999.0,1001.5436667272849,12000.543666727284,64381.24,12006.969259206426,-0.05351552369649441,2024-04
2024-04-26,10999.0,998.8930028790325,11997.893002879033,64210.85,12006.969259206426,-0.07559156795903038,2024-04
2024-04-26,10999.0,1004.2310438021461,12003.231043802147,64553.99,12006.969259206426,-0.031133713459061185,2024-04
2024-04-26,10999.0,1001.4865745486178,12000.486574548619,64377.57,12006.969259206426,-0.053991015699790104,2024-04
2024-04-26,10999.0,999.9212843531183,11998.921284353119,64276.95,12006.969259206426,-0.06702752942534818,2024-04
2024-04-26,10999.0,1002.0299614153322,12001.029961415332,64412.5,12006.969259206426,-0.049465420147884964,2024-04
2024-04-26,10999.0,1003.0020840978681,12002.002084097869,64474.99,12006.969259206426,-0.041369099906276866,2024-04
2024-04-26,10999.0,997.1687257445745,11996.168725744574,64100.01,12006.969259206426,-0.08995220383004289,2024-04
